"ensembl_gene_id","external_gene_name","bucket","great_apes","chimp_human","age"
"ENSG00000162714","ZNF496",1,"no","no","old"
"ENSG00000189180","ZNF33A",1,"no","no","old"
"ENSG00000125945","ZNF436",1,"no","no","old"
"ENSG00000175395","ZNF25",1,"no","no","old"
"ENSG00000075407","ZNF37A",3,"no","no","old"
"ENSG00000188295","ZNF669",2,"no","no","young"
"ENSG00000198298","ZNF485",1,"no","no","old"
"ENSG00000187801","ZFP69B",1,"no","no","old"
"ENSG00000198105","ZNF248",1,"no","no","old"
"ENSG00000196693","ZNF33B",1,"no","no","old"
"ENSG00000196418","ZNF124",2,"no","no","young"
"ENSG00000181450","ZNF678",2,"no","no","young"
"ENSG00000121903","ZSCAN20",1,"no","no","old"
"ENSG00000197472","ZNF695",1,"no","no","old"
"ENSG00000117010","ZNF684",1,"no","no","old"
"ENSG00000187815","ZFP69",1,"no","no","old"
"ENSG00000005801","ZNF195",2,"no","no","young"
"ENSG00000090612","ZNF268",1,"no","no","old"
"ENSG00000256223","ZNF10",1,"no","no","old"
"ENSG00000149054","ZNF215",1,"no","no","old"
"ENSG00000167528","ZNF641",1,"no","no","old"
"ENSG00000149050","ZNF214",1,"no","no","old"
"ENSG00000176371","ZSCAN2",1,"no","no","old"
"ENSG00000198393","ZNF26",1,"no","no","old"
"ENSG00000196387","ZNF140",1,"no","no","old"
"ENSG00000166261","ZNF202",1,"no","no","old"
"ENSG00000198040","ZNF84",1,"no","no","old"
"ENSG00000196458","ZNF605",1,"no","no","old"
"ENSG00000196946","ZNF705A",2,"no","no","young"
"ENSG00000140265","ZSCAN29",1,"no","no","old"
"ENSG00000006194","ZNF263",1,"no","no","old"
"ENSG00000103199","ZNF500",1,"no","no","old"
"ENSG00000099326","MZF1",3,"no","no","old"
"ENSG00000122386","ZNF205",1,"no","no","old"
"ENSG00000229809","ZNF688",1,"no","no","old"
"ENSG00000130182","ZSCAN10",1,"no","no","old"
"ENSG00000169951","ZNF764",1,"no","no","old"
"ENSG00000186812","ZNF397",1,"no","no","old"
"ENSG00000167840","ZNF232",1,"no","no","old"
"ENSG00000169955","ZNF747",3,"no","no","old"
"ENSG00000172466","ZNF24",1,"no","no","old"
